idMarca,Marca,Abrev,MarcaURL,idDataStorage,OrdenM
1,INDACER,INDACER   ,"",,0
2,AE1 SA.,AE1       ,"",,0
3,CORPAPEL,CORPAPEL  ,"",,0
4,SOLUCION,SOLUCION  ,"",,0
5,TARGUS,TARGUS    ,"",,0
6,MAX PLUX,MAX PLUX,3m,,0
7,FILGO,FILGO,"",,0
8,SEVEN,SEVEN,"",,0
9,GLEAM,GLEAM,"",,0
10,TEFI,TEFI,"",,0
11,SEISA,SEISA,"",,0
12,YOMICO,YOMICO,"",,0
13,EDUKT,EDUKT,"",,0
14,COLOP,COLOP,"",,0
15,EMERALD,EMERALD,"",,0
16,EXCELLENT,ESCELLET,"",,0
17,ALHUA,ALHUA,"",,0
182,AVAL,AVAL,http://lasoluciond.com/img/marcas/3m.jpg,,0
183,ABEL,ABEL      ,"",,0
184,ACRILEX,ACLX      ,"",,0
185,ACRIMET,ACMT      ,"",,0
186,AE1,AE1       ,"",,0
187,DACER,DC        ,"",,0
188,ARTI,ARTI      ,"",,0
189,ALBERTI,ALBTI     ,"",,0
190,ALPES,ALPES     ,"",,0
191,ALLEANZA,ALLZA     ,"",,0
192,AMERICANO,AMCNO     ,"",,0
193,ALPHA,ALPHA     ,"",,0
194,AMERICANA,AMCNA     ,"",,0
195,AMOS- KP,AMOS- KP  ,"",,0
196,ANGEL,ANGEL     ,"",,0
197,APSARA,APSARA    ,"",,0
198,ARTEL,ARTEL     ,"",,0
199,ARTESCO,ARTESCO,http://lasoluciond.com/img/marcas/artesco.png,,0
201,ARK-RIGHT,ARGHT     ,"",,0
202,ARTLINE,ARLINE    ,"",,0
203,ARTI CREATIVO,ARTI CREAT,"",,0
204,ATLAS,ATLAS     ,"",,0
205,INFONET E.I.R.L.,INFONET   ,"",,0
206,BANTEX,BNTEX     ,"",,0
207,BEAUTONE,BETNE     ,"",,0
208,BEAUTY,BEAUTY    ,"",,0
209,BENISA,BENISA    ,"",,0
210,BIC,BIC       ,http://lasoluciond.com/img/marcas/bic.jpg,,0
